[2022-12-15 14:18:53,495][root][INFO] - 

  info                   key          mean         std           min           max    count
------  --------------------  ------------  ----------  ------------  ------------  -------
sample        episode_length  160.00000000  0.00000000  160.00000000  160.00000000     1000
sample        episode_return   25.11815371  4.00725293   -4.12410604   33.99980093     1000
sample             num_guess   32.67400000  1.27738953   29.00000000   37.00000000     1000
sample           num_correct   32.65000000  1.26233910   29.00000000   37.00000000     1000
sample          correct_rate    0.99929786  0.00550172    0.91428571    1.00000000     1000
sample              bandwith    0.20421250  0.00798368    0.18125000    0.23125000     1000
sample          max_autocorr    0.48149542  0.12548432    0.19148936    0.86666667     1000
sample      detect_rate-0.75    0.02000000  0.14000000    0.00000000    1.00000000     1000
sample  overall_correct_rate    0.99926547  0.00000000    0.99926547    0.99926547        1
sample      overall_bandwith    0.20421250  0.00000000    0.20421250    0.20421250        1

