[2022-12-15 14:16:37,318][root][INFO] - 

  info                   key          mean         std           min           max    count
------  --------------------  ------------  ----------  ------------  ------------  -------
sample        episode_length  160.00000000  0.00000000  160.00000000  160.00000000     1000
sample        episode_return   22.28885521  4.98986554  -12.09706615   30.18001916     1000
sample             num_guess   31.34000000  1.53766056   27.00000000   45.00000000     1000
sample           num_correct   31.14300000  1.34259115   27.00000000   36.00000000     1000
sample          correct_rate    0.99415634  0.01916339    0.75555556    1.00000000     1000
sample              bandwith    0.19587500  0.00961038    0.16875000    0.28125000     1000
sample          max_autocorr    0.51062865  0.13073213    0.15965517    0.93647787     1000
sample      detect_rate-0.75    0.04800000  0.21376623    0.00000000    1.00000000     1000
sample  overall_correct_rate    0.99371410  0.00000000    0.99371410    0.99371410        1
sample      overall_bandwith    0.19587500  0.00000000    0.19587500    0.19587500        1

