[2022-12-15 14:01:32,099][root][INFO] - 

  info                   key          mean         std           min           max    count
------  --------------------  ------------  ----------  ------------  ------------  -------
sample        episode_length  160.00000000  0.00000000  160.00000000  160.00000000     1000
sample        episode_return   34.41300000  1.65844234   29.00000000   40.00000000     1000
sample             num_guess   35.52900000  1.21620681   32.00000000   40.00000000     1000
sample           num_correct   34.92000000  1.29907660   31.00000000   40.00000000     1000
sample          correct_rate    0.98292596  0.01836498    0.93939394    1.00000000     1000
sample              bandwith    0.22205625  0.00760129    0.20000000    0.25000000     1000
sample          max_autocorr    0.93913198  0.05082871    0.73317230    1.00000000     1000
sample      detect_rate-0.75    0.99900000  0.03160696    0.00000000    1.00000000     1000
sample  overall_correct_rate    0.98285907  0.00000000    0.98285907    0.98285907        1
sample      overall_bandwith    0.22205625  0.00000000    0.22205625    0.22205625        1

