[2022-12-15 14:00:59,393][root][INFO] - 

  info                   key          mean         std           min           max    count
------  --------------------  ------------  ----------  ------------  ------------  -------
sample        episode_length  160.00000000  0.00000000  160.00000000  160.00000000     1000
sample        episode_return   35.73200000  1.53172321   31.00000000   40.00000000     1000
sample             num_guess   36.78600000  1.33124153   33.00000000   42.00000000     1000
sample           num_correct   36.25900000  1.25535612   33.00000000   40.00000000     1000
sample          correct_rate    0.98589635  0.01835625    0.90476190    1.00000000     1000
sample              bandwith    0.22991250  0.00832026    0.20625000    0.26250000     1000
sample          max_autocorr    0.94188690  0.04964305    0.76880811    1.00071225     1000
sample      detect_rate-0.75    1.00000000  0.00000000    1.00000000    1.00000000     1000
sample  overall_correct_rate    0.98567390  0.00000000    0.98567390    0.98567390        1
sample      overall_bandwith    0.22991250  0.00000000    0.22991250    0.22991250        1

