[2022-12-15 14:53:28,713][root][INFO] - 

  info                   key          mean         std           min           max    count
------  --------------------  ------------  ----------  ------------  ------------  -------
sample        episode_length  160.00000000  0.00000000  160.00000000  160.00000000     1000
sample        episode_return   36.25200000  1.22085871   31.00000000   41.00000000     1000
sample             num_guess   36.45900000  1.25710739   33.00000000   41.00000000     1000
sample           num_correct   36.27600000  1.20075976   33.00000000   41.00000000     1000
sample          correct_rate    0.99508830  0.01097613    0.91891892    1.00000000     1000
sample              bandwith    0.22786875  0.00785692    0.20625000    0.25625000     1000
sample        cyclone_attack    0.41300000  0.49237283    0.00000000    1.00000000     1000
sample  overall_correct_rate    0.99498066  0.00000000    0.99498066    0.99498066        1
sample      overall_bandwith    0.22786875  0.00000000    0.22786875    0.22786875        1

