[2022-12-15 15:08:51,821][root][INFO] - 

  info                   key          mean         std           min           max    count
------  --------------------  ------------  ----------  ------------  ------------  -------
sample        episode_length  160.00000000  0.00000000  160.00000000  160.00000000     1000
sample        episode_return   23.72300000  6.73322144  -78.00000000   30.00000000     1000
sample             num_guess   24.12700000  2.19017602   17.00000000   30.00000000     1000
sample           num_correct   24.12500000  2.18937777   17.00000000   30.00000000     1000
sample          correct_rate    0.99992308  0.00243130    0.92307692    1.00000000     1000
sample              bandwith    0.15079375  0.01368860    0.10625000    0.18750000     1000
sample        cyclone_attack    0.00400000  0.06311894    0.00000000    1.00000000     1000
sample  overall_correct_rate    0.99991711  0.00000000    0.99991711    0.99991711        1
sample      overall_bandwith    0.15079375  0.00000000    0.15079375    0.15079375        1

