[2022-12-15 15:01:46,571][root][INFO] - 

  info                   key          mean         std           min           max    count
------  --------------------  ------------  ----------  ------------  ------------  -------
sample        episode_length  160.00000000  0.00000000  160.00000000  160.00000000     1000
sample        episode_return   26.34800000  3.38480369  -72.00000000   32.00000000     1000
sample             num_guess   26.62600000  1.37844985   22.00000000   32.00000000     1000
sample           num_correct   26.53600000  1.31935742   22.00000000   32.00000000     1000
sample          correct_rate    0.99678853  0.01137119    0.87096774    1.00000000     1000
sample              bandwith    0.16641250  0.00861531    0.13750000    0.20000000     1000
sample        cyclone_attack    0.00100000  0.03160696    0.00000000    1.00000000     1000
sample  overall_correct_rate    0.99661985  0.00000000    0.99661985    0.99661985        1
sample      overall_bandwith    0.16641250  0.00000000    0.16641250    0.16641250        1

