,col
554, 1 
555, 1 
556, 0 
557, 0 
558, 1 
559, 1 
560, 0x8 
561, 1 
562, 0 
563, 0 
564, 0 
565, 0 
566, 0 
567, 0 
568, 0 
570, 1 
571, 1 
572, 1 
573, 1 
574, 0 
575, 1 
576, 1 
577, 1 
578, 0xa 
579, 0 
580, 0 
581, 1 
582, 0 
583, 0 
584, 0 
585, 0 
586, 0 
588, 1 
589, 1 
590, 1 
591, 1 
592, 1 
593, 1 
594, 0 
595, 1 
596, 0xb 
597, 0 
598, 0 
599, 0 
600, 1 
601, 0 
602, 0 
603, 0 
604, 0 
606, 1 
607, 1 
608, 1 
609, 1 
610, 1 
611, 1 
612, 1 
613, 1 
614, 0xa 
615, 0 
616, 0 
617, 1 
618, 0 
619, 0 
621, 1 
622, 1 
623, 1 
624, 1 
625, 1 
626, 1 
627, 1 
628, 1 
629, 0xd 
630, 0 
631, 0 
632, 0 
633, 0 
634, 0 
635, 1 
636, 0 
637, 0 
639, 1 
640, 1 
641, 1 
642, 1 
643, 1 
644, 1 
645, 1 
646, 0 
647, 0xd 
648, 0 
649, 0 
650, 0 
651, 0 
652, 0 
653, 1 
654, 0 
655, 0 
657, 1 
658, 0 
659, 0 
660, 1 
661, 0 
662, 1 
663, 1 
664, 1 
665, 0x9 
666, 0 
667, 1 
668, 0 
669, 0 
670, 0 
671, 0 
672, 0 
673, 0 
675, 1 
676, 1 
677, 1 
678, 1 
679, 1 
680, 1 
681, 1 
682, 1 
683, 0xc 
684, 0 
685, 0 
686, 0 
687, 0 
688, 1 
690, 1 
691, 1 
692, 1 
693, 1 
694, 1 
695, 1 
696, 1 
697, 1 
698, 0xb 
699, 0 
700, 0 
701, 0 
702, 1 
703, 0 
704, 0 
705, 0 
706, 0 
708, 0 
709, 1 
710, 0 
711, 1 
712, 1 
713, 1 
714, 1 
715, 1 
716, 0xc 
717, 0 
718, 0 
719, 0 
720, 0 
721, 1 
722, 0 
723, 0 
724, 0 
726, 1 
727, 1 
728, 0 
729, 1 
730, 1 
731, 1 
732, 1 
733, 1 
734, 0x8 
735, 1 
736, 0 
737, 0 
738, 0 
739, 0 
740, 0 
741, 0 
742, 0 
744, 1 
745, 0 
746, 1 
747, 1 
748, 1 
749, 1 
750, 1 
751, 0 
752, 0xd 
753, 0 
754, 0 
755, 0 
756, 0 
757, 0 
759, 1 
760, 1 
761, 1 
762, 1 
763, 0 
764, 1 
765, 1 
766, 1 
767, 0xd 
768, 0 
769, 0 
770, 0 
771, 0 
772, 0 
773, 1 
774, 0 
775, 0 
777, 1 
778, 1 
779, 1 
780, 0 
781, 1 
782, 1 
783, 1 
784, 1 
785, 0xa 
786, 0 
787, 0 
788, 1 
789, 0 
790, 0 
791, 0 
792, 0 
793, 0 
795, 1 
796, 0 
797, 1 
798, 1 
799, 1 
800, 1 
801, 1 
802, 1 
803, 0x8 
804, 1 
805, 0 
806, 0 
807, 0 
808, 0 
809, 0 
810, 0 
811, 0 
813, 1 
814, 1 
815, 1 
816, 1 
817, 1 
818, 0 
819, 1 
820, 1 
821, 0xc 
822, 0 
823, 0 
824, 0 
825, 0 
826, 1 
828, 1 
829, 1 
830, 1 
831, 1 
832, 1 
833, 0 
834, 1 
835, 0 
836, 0xc 
837, 0 
838, 0 
839, 0 
840, 0 
841, 1 
842, 0 
843, 0 
844, 0 
846, 0 
847, 1 
848, 1 
849, 1 
850, 1 
851, 1 
852, 1 
853, 1 
854, 0xe 
855, 0 
856, 0 
857, 0 
858, 0 
859, 0 
860, 0 
861, 1 
862, 0 
864, 1 
865, 0 
866, 1 
867, 0 
868, 1 
869, 1 
870, 1 
871, 1 
872, 0xc 
873, 0 
874, 0 
875, 0 
876, 0 
877, 1 
878, 0 
879, 0 
880, 0 
882, 1 
883, 1 
884, 0 
885, 1 
886, 0 
887, 1 
888, 1 
889, 1 
890, 0x9 
891, 0 
892, 1 
893, 0 
894, 0 
895, 0 
897, 1 
898, 0 
899, 1 
900, 1 
901, 0 
902, 1 
903, 1 
904, 1 
905, 0x8 
906, 1 
907, 0 
908, 0 
909, 0 
910, 0 
911, 0 
912, 0 
913, 0 
915, 1 
916, 1 
917, 1 
918, 1 
919, 1 
920, 1 
921, 1 
922, 0 
923, 0xa 
924, 0 
925, 0 
926, 1 
927, 0 
928, 0 
929, 0 
930, 0 
931, 0 
933, 1 
934, 1 
935, 1 
936, 1 
937, 1 
938, 1 
939, 0 
940, 0 
941, 0x8 
942, 1 
943, 0 
944, 0 
945, 0 
946, 0 
947, 0 
948, 0 
949, 0 
951, 1 
952, 1 
953, 0 
954, 1 
955, 1 
956, 1 
957, 1 
958, 1 
959, 0xc 
960, 0 
961, 0 
962, 0 
963, 0 
964, 1 
966, 0 
967, 1 
968, 0 
969, 1 
970, 1 
971, 1 
972, 1 
973, 1 
974, 0xd 
975, 0 
976, 0 
977, 0 
978, 0 
979, 0 
980, 1 
981, 0 
982, 0 
984, 1 
985, 1 
986, 1 
987, 1 
988, 1 
989, 1 
990, 1 
991, 0 
992, 0xd 
993, 0 
994, 0 
995, 0 
996, 0 
997, 0 
998, 1 
999, 0 
1000, 0 
1002, 1 
1003, 1 
1004, 0 
1005, 1 
1006, 1 
1007, 1 
1008, 1 
1009, 1 
1010, 0x9 
1011, 0 
1012, 1 
1013, 0 
1014, 0 
1015, 0 
1016, 0 
1017, 0 
1018, 0 
1020, 0 
1021, 1 
1022, 1 
1023, 1 
1024, 1 
1025, 1 
1026, 1 
1027, 1 
1028, 0xc 
1029, 0 
1030, 0 
1031, 0 
1032, 0 
1033, 1 
1035, 1 
1036, 1 
1037, 1 
1038, 1 
1039, 1 
1040, 1 
1041, 1 
1042, 0 
1043, 0xf 
1044, 0 
1045, 0 
1046, 0 
1047, 0 
1048, 0 
1049, 0 
1050, 0 
1051, 1 
1053, 1 
1054, 0 
1055, 1 
1056, 0 
1057, 1 
1058, 1 
1059, 0 
1060, 0 
1061, 0xe 
1062, 0 
1063, 0 
1064, 0 
1065, 0 
1066, 0 
1067, 0 
1068, 1 
1069, 0 
1071, 0 
1072, 1 
1073, 1 
1074, 0 
1075, 1 
1076, 0 
1077, 1 
1078, 1 
1079, 0xd 
1080, 0 
1081, 0 
1082, 0 
1083, 0 
1084, 0 
1085, 1 
1086, 0 
1087, 0 
1089, 1 
1090, 1 
1091, 1 
1092, 1 
1093, 1 
1094, 1 
1095, 1 
1096, 0 
1097, 0x8 
1098, 1 
1099, 0 
1100, 0 
1101, 0 
1102, 0 
1104, 1 
1105, 1 
1106, 1 
1107, 1 
1108, 0 
1109, 1 
1110, 0 
1111, 1 
1112, 0xa 
1113, 0 
1114, 0 
1115, 1 
1116, 0 
1117, 0 
1118, 0 
1119, 0 
1120, 0 
1122, 1 
1123, 1 
1124, 1 
1125, 1 
1126, 1 
1127, 1 
1128, 0 
1129, 1 
1130, 0xf 
1131, 0 
1132, 0 
1133, 0 
1134, 0 
1135, 0 
1136, 0 
1137, 0 
1138, 1 
1140, 1 
1141, 1 
1142, 1 
1143, 1 
1144, 1 
1145, 1 
1146, 1 
1147, 1 
1148, 0x8 
1149, 1 
1150, 0 
1151, 0 
1152, 0 
1153, 0 
1154, 0 
1155, 0 
1156, 0 
1158, 1 
1159, 0 
1160, 0 
1161, 1 
1162, 0 
1163, 1 
1164, 1 
1165, 0 
1166, 0xc 
1167, 0 
1168, 0 
1169, 0 
1170, 0 
1171, 1 
1173, 1 
1174, 1 
1175, 1 
1176, 1 
1177, 1 
1178, 1 
1179, 1 
1180, 1 
1181, 0xe 
1182, 0 
1183, 0 
1184, 0 
1185, 0 
1186, 0 
1187, 0 
1188, 1 
1189, 0 
1191, 1 
1192, 1 
1193, 1 
1194, 0 
1195, 1 
1196, 1 
1197, 1 
1198, 1 
1199, 0xa 
1200, 0 
1201, 0 
1202, 1 
1203, 0 
1204, 0 
1205, 0 
1206, 0 
1207, 0 
1209, 1 
1210, 0 
1211, 1 
1212, 0 
1213, 1 
1214, 0 
1215, 1 
1216, 1 
1217, 0x9 
1218, 0 
1219, 1 
1220, 0 
1221, 0 
1222, 0 
1223, 0 
1224, 0 
1225, 0 
1227, 1 
1228, 1 
1229, 1 
1230, 1 
1231, 1 
1232, 1 
1233, 1 
1234, 1 
1235, 0xa 
1236, 0 
1237, 0 
1238, 1 
1239, 0 
1240, 0 
1242, 1 
1243, 1 
1244, 1 
1245, 1 
1246, 1 
1247, 1 
1248, 1 
1249, 1 
1250, 0x9 
1251, 0 
1252, 1 
1253, 0 
1254, 0 
1255, 0 
1256, 0 
1257, 0 
1258, 0 
1260, 1 
1261, 1 
1262, 1 
1263, 0 
1264, 1 
1265, 1 
1266, 1 
1267, 1 
1268, 0xd 
1269, 0 
1270, 0 
1271, 0 
1272, 0 
1273, 0 
1274, 1 
1275, 0 
1276, 0 
1278, 1 
1279, 0 
1280, 0 
1281, 1 
1282, 1 
1283, 1 
1284, 0 
1285, 1 
1286, 0xd 
1287, 0 
1288, 0 
1289, 0 
1290, 0 
1291, 0 
1292, 1 
1293, 0 
1294, 0 
1296, 1 
1297, 0 
1298, 1 
1299, 1 
1300, 1 
1301, 0 
1302, 0 
1303, 1 
1304, 0xc 
1305, 0 
1306, 0 
1307, 0 
1308, 0 
1309, 1 
1311, 1 
1312, 1 
1313, 1 
1314, 1 
1315, 1 
1316, 1 
1317, 0 
1318, 1 
1319, 0xd 
1320, 0 
1321, 0 
1322, 0 
1323, 0 
1324, 0 
1325, 1 
1326, 0 
1327, 0 
1329, 1 
1330, 0 
1331, 0 
1332, 1 
1333, 1 
1334, 1 
1335, 0 
1336, 1 
1337, 0xb 
1338, 0 
1339, 0 
1340, 0 
1341, 1 
1342, 0 
1343, 0 
1344, 0 
1345, 0 
1347, 1 
1348, 0 
1349, 1 
1350, 1 
1351, 1 
1352, 1 
1353, 1 
1354, 1 
1355, 0xe 
1356, 0 
1357, 0 
1358, 0 
1359, 0 
1360, 0 
1361, 0 
1362, 1 
1363, 0 
1365, 1 
1366, 1 
1367, 1 
1368, 0 
1369, 1 
1370, 1 
1371, 0 
1372, 1 
1373, 0xc 
1374, 0 
1375, 0 
1376, 0 
1377, 0 
1378, 1 
1380, 1 
1381, 1 
1382, 0 
1383, 1 
1384, 1 
1385, 0 
1386, 1 
1387, 1 
1388, 0xf 
1389, 0 
1390, 0 
1391, 0 
1392, 0 
1393, 0 
1394, 0 
1395, 0 
1396, 1 
1398, 1 
1399, 1 
1400, 1 
1401, 1 
1402, 1 
1403, 1 
1404, 0 
1405, 1 
1406, 0xa 
1407, 0 
1408, 0 
1409, 1 
1410, 0 
1411, 0 
1412, 0 
1413, 0 
1414, 0 
1416, 1 
1417, 1 
1418, 1 
1419, 1 
1420, 0 
1421, 0 
1422, 0 
1423, 1 
1424, 0xf 
1425, 0 
1426, 0 
1427, 0 
1428, 0 
1429, 0 
1430, 0 
1431, 0 
1432, 1 
1434, 0 
1435, 1 
1436, 1 
1437, 0 
1438, 1 
1439, 1 
1440, 0 
1441, 1 
1442, 0x9 
1443, 0 
1444, 1 
1445, 0 
