[2022-12-15 14:54:16,676][root][INFO] - 

  info                   key          mean         std           min           max    count
------  --------------------  ------------  ----------  ------------  ------------  -------
sample        episode_length  160.00000000  0.00000000  160.00000000  160.00000000     1000
sample        episode_return   36.10700000  1.31740313   30.00000000   41.00000000     1000
sample             num_guess   36.77800000  1.37721313   33.00000000   42.00000000     1000
sample           num_correct   36.24200000  1.21878464   32.00000000   41.00000000     1000
sample          correct_rate    0.98568165  0.01544493    0.89473684    1.00000000     1000
sample              bandwith    0.22986250  0.00860758    0.20625000    0.26250000     1000
sample        cyclone_attack    0.36200000  0.48057882    0.00000000    1.00000000     1000
sample  overall_correct_rate    0.98542607  0.00000000    0.98542607    0.98542607        1
sample      overall_bandwith    0.22986250  0.00000000    0.22986250    0.22986250        1

